Experiment start
robot 1 0.3174587366346455
robot 1 0.3192747027690694
robot 1 0.32121696993559684
robot 1 0.32256466628287644
robot 1 0.32454640774935495
robot 1 0.3254553189213934
robot 1 0.3275829496244043
robot 1 0.33034475653063006
robot 1 0.3341675728116997
robot 1 0.33432632469285406
robot 1 0.33447722401620755
robot 1 0.3358586351739304
robot 1 0.3369310658579234
robot 1 0.3363275534306867
robot 1 0.33647029973831905
robot 1 0.33586811963355984
robot 1 0.3364782323901933
robot 1 0.3361694372929625
robot 1 0.3363270296028289
robot 1 0.33662815308295535
robot 1 0.3361694349543912
robot 1 0.33663032797185144
robot 1 0.33678058950064027
robot 1 0.33631950965238944
robot 1 0.33631961722480114
robot 1 0.3363275534306867
robot 1 0.3364782323901933
robot 1 0.3369310658579234
robot 1 0.3367805871557492
robot 1 0.3369310658579234
robot 1 0.33663152904339805
robot 1 0.33632744586081337
robot 1 0.33647836137657455
robot 1 0.3369310658579234
robot 1 0.3364759018015946
robot 1 0.33631961722480114
robot 1 0.33692860591550966
robot 1 0.3377102006515927
robot 1 0.3397055696267584
robot 1 0.3427692499479956
robot 1 0.344770813557954
robot 1 0.34722227042024884
robot 1 0.34890869136482966
robot 1 0.35121669979360043
robot 1 0.35367017381369437
robot 1 0.3559797922145135
robot 1 0.3591968979230736
robot 1 0.36211168633679935
robot 1 0.36441038455247643
robot 1 0.3668811883020373
robot 1 0.3684482336817388
robot 1 0.3708967256828085
robot 1 0.37309527142358
robot 1 0.3749812757039331
robot 1 0.37808449385950443
robot 1 0.379555086894756
robot 1 0.3813242374236412
robot 1 0.38282111635103044
robot 1 0.38387625715104734
robot 1 0.38655165448656714
robot 1 0.3879268959143211
robot 1 0.3876600136162614
robot 1 0.38807556290275375
robot 1 0.389397172257145
robot 1 0.38927981050532584
robot 1 0.38975431263968274
robot 1 0.3904769631278916
robot 1 0.38997148028481937
robot 1 0.3894637559699775
robot 1 0.38897001032973116
robot 1 0.38873231414389015
robot 1 0.3874409623132931
robot 1 0.3861540807127656
robot 1 0.38427168615178364
robot 1 0.3841067086541796
robot 1 0.3811764597575317
robot 1 0.3799399154993337
robot 1 0.3772687964415828
robot 1 0.37605820566083764
robot 1 0.3735373146154534
robot 1 0.37228871757982246
robot 1 0.3695986203283359
robot 1 0.3651891991986246
robot 1 0.36270254294513815
robot 1 0.35980238622030125
robot 1 0.35699317903828104
robot 1 0.3540156502014457
robot 1 0.35037613112170657
robot 1 0.34781398475179237
robot 1 0.3451621781127824
robot 1 0.3416763831879981
robot 1 0.3386163723032749
robot 1 0.336214019107247
robot 1 0.3339692184778731
robot 1 0.3301736700709918
robot 1 0.3286047653413745
robot 1 0.3262999112393946
robot 1 0.32399318314897624
robot 1 0.32112284836341387
robot 1 0.31950582801984717
robot 1 0.31832857008503745
robot 1 0.31584635623348095
robot 1 0.3151926934351995
robot 1 0.3128868512506206
robot 1 0.31154172359684734
robot 1 0.31084890580301155
robot 1 0.3093479571796191
robot 1 0.30913725395474473
robot 1 0.3089747305877001
robot 1 0.30860365473969037
robot 1 0.30803619199971627
robot 1 0.3087639480677504
robot 1 0.30892274149576604
robot 1 0.3093108107568619
robot 1 0.31077363928014473
robot 1 0.3118307671683875
robot 1 0.31308282829563
robot 1 0.31480613363730586
robot 1 0.3168177221046536
robot 1 0.3176720911333512
robot 1 0.3203477705104973
robot 1 0.32213536877853777
robot 1 0.32500614443001774
robot 1 0.3265261707406251
robot 1 0.3297349738061093
robot 1 0.33508908479930505
robot 1 0.3355494976198599
robot 1 0.33846143103178544
robot 1 0.3416926187336137
robot 1 0.34476956813235066
robot 1 0.3478323452078107
robot 1 0.35136678376608343
robot 1 0.35397869260242704
robot 1 0.3567356013006398
robot 1 0.3588888807036235
robot 1 0.3624253098583754
robot 1 0.3651987522345539
robot 1 0.36828643609531747
robot 1 0.3704591315517166
robot 1 0.37218541353963336
